Month,NumberOfHires,AvHireTime
2010-07,12461,17.2
2010-08,341203,16.6
2010-09,540859,15.2
2010-10,544412,15.2
2010-11,456304,13.8
2010-12,285574,16.8
2011-01,403178,16.1
2011-02,398292,17.2
2011-03,556155,20.0
2011-04,673639,26.9
2011-05,722072,15.0
2011-06,638717,16.4
2011-07,708454,15.6
2011-08,642440,17.6
2011-09,684780,17.3
2011-10,708802,17.0
2011-11,597191,15.6
2011-12,408729,19.4
2012-01,494325,16.9
2012-02,481826,17.3
2012-03,818209,21.2
2012-04,649473,21.4
2012-05,926952,22.1
2012-06,858805,22.1
2012-07,1014174,22.9
2012-08,1163171,23.2
2012-09,1015145,20.0
2012-10,856866,18.0
2012-11,726893,17.0
2012-12,513444,19.0
2013-01,565589,16.7
2013-02,516588,16.0
2013-03,504611,16.2
2013-04,658230,20.1
2013-05,749934,21.7
2013-06,813631,22.3
2013-07,998755,25.4
2013-08,904155,25.5
2013-09,701724,19.1
2013-10,674154,16.8
2013-11,514146,14.7
2013-12,443942,18.4
2014-01,493870,15.5
2014-02,522940,17.1
2014-03,757864,19.9
2014-04,805571,20.6
2014-05,890709,20.8
2014-06,1052573,21.1
2014-07,1183182,21.6
2014-08,1055206,22.2
2014-09,1058684,19.2
2014-10,907998,17.9
2014-11,715447,16.5
2014-12,579853,18.0
2015-01,583663,15.3
2015-02,549278,15.3
2015-03,701384,16.6
2015-04,838543,20.1
2015-05,899969,20.7
2015-06,1039768,20.7
2015-07,1134816,22.9
2015-08,1042932,24.1
2015-09,903429,19.0
2015-10,885375,18.6
2015-11,684518,15.9
2015-12,608164,18.1
2016-01,586325,15.6
2016-02,597641,15.5
2016-03,664485,16.8
2016-04,763308,18.5
2016-05,1013666,20.9
2016-06,963232,19.3
2016-07,1188428,22.6
2016-08,1158393,22.5
2016-09,1053039,19.0
2016-10,945143,17.3
2016-11,711002,15.1
2016-12,658975,17.8
2017-01,638491,18.4
2017-02,618550,15.7
2017-03,819752,16.9
2017-04,917716,21.0
2017-05,992601,20.0
2017-06,1098294,21.0
2017-07,1131838,21.0
2017-08,994199,21.9
2017-09,934751,18.8
2017-10,973682,18.0
2017-11,792082,16.0
2017-12,534088,17.4
2018-01,645901,16.0
2018-02,576425,16.0
2018-03,604921,17.0
2018-04,824737,20.0
2018-05,1112686,22.0
2018-06,1181642,22.0
2018-07,1253102,23.0
2018-08,1058181,22.0
2018-09,1008201,19.0
2018-10,978290,18.0
2018-11,738024,16.0
2018-12,585430,18.0
2019-01,685798,18.0
2019-02,698917,20.0
2019-03,792272,17.0
2019-04,890148,17.0
2019-05,1006547,19.0
2019-06,1006434,22.0
2019-07,1152150,21.0
2019-08,1053921,22.0
2019-09,965581,19.0
2019-10,851999,17.0
2019-11,729111,15.0
2019-12,592077,17.0
2020-01,709673,16.0
2020-02,641128,19.0
2020-03,553648,19.0
2020-04,591294,36.0
2020-05,1121435,35.0
2020-06,1158560,32.0
2020-07,1170060,26.0
2020-08,1153276,24.0
2020-09,1137524,23.0
2020-10,848233,19.0
2020-11,760245,23.0
2020-12,589091,17.0
2021-01,409887,17.0
2021-02,511046,21.0
2021-03,748511,26.0
2021-04,943760,25.0
2021-05,921988,22.0
2021-06,1183634,21.0
2021-07,1168166,21.0
2021-08,1111134,22.0
2021-09,1220318,20.0
2021-10,1110571,18.0
2021-11,945047,16.0
2021-12,667202,18.0
2022-01,748502,17.0
2022-02,749898,17.0
2022-03,1056720,19.0
2022-04,1031077,21.0
2022-05,1201054,20.0
2022-06,1280180,22.0
2022-07,1315801,21.0
2022-08,1259932,21.0
2022-09,800950,18.0
2022-10,864369,18.0
2022-11,725556,17.0
2022-12,471833,18.0
2023-01,571133,16.0
2023-02,613325,17.0
2023-03,630605,19.0
2023-04,646899,19.0
2023-05,821433,20.0
2023-06,884730,20.0
2023-07,808688,20.0
2023-08,778336,21.0
